city_code,district_code,village,neighbor,street,area,lane,alley,number,address,x,y
64,6403600,多納里,001,,多納巷,,,１之１５號,,220759.580,2534149.790
64,6403600,多納里,001,,多納巷,,,１號,,220857.070,2534362.667
64,6403600,多納里,001,,多納巷,,,１之１號,,220813.200,2534370.240
64,6403600,多納里,001,,多納巷,,,１之２號,,220895.159,2534375.514
64,6403600,多納里,001,,多納巷,,,１之３６號,,220678.550,2534199.120
64,6403600,多納里,001,,多納巷,,,１之５號,,220877.475,2534352.714
64,6403600,多納里,001,,多納巷,,,１之６號,,220788.430,2534358.717
64,6403600,多納里,001,,多納巷,,,１之９號,,220725.708,2534299.622
64,6403600,多納里,001,,多納巷,,,２號,,220942.308,2534398.453
64,6403600,多納里,001,,多納巷,,,２之１號,,220951.481,2534404.892
64,6403600,多納里,001,,多納巷,,,３號,,220962.784,2534415.688
64,6403600,多納里,001,,多納巷,,,４號,,220979.687,2534433.958
64,6403600,多納里,001,,多納巷,,,５號,,220989.475,2534444.190
64,6403600,多納里,001,,多納巷,,,６號,,221002.485,2534457.822
64,6403600,多納里,001,,多納巷,,,６之１７號,,220714.070,2534325.780
64,6403600,多納里,001,,多納巷,,,６之１６號,,220737.590,2534349.250
64,6403600,多納里,001,,多納巷,,,６之１號,,220682.894,2534334.053
64,6403600,多納里,001,,多納巷,,,６之２號,,220668.775,2534337.129
64,6403600,多納里,001,,多納巷,,,６之６號,,220704.508,2534293.262
64,6403600,多納里,001,,多納巷,,,７號,,220926.150,2534401.533
64,6403600,多納里,001,,多納巷,,,８號,,220933.165,2534409.504
64,6403600,多納里,001,,多納巷,,,９號,,220938.262,2534420.202
64,6403600,多納里,001,,多納巷,,,１１號,,220951.459,2534428.688
64,6403600,多納里,001,,多納巷,,,１１之１號,,220956.435,2534435.261
64,6403600,多納里,001,,多納巷,,,１２號,,220914.169,2534414.233
64,6403600,多納里,001,,多納巷,,,１２之２號,,220905.887,2534409.903
64,6403600,多納里,001,,多納巷,,,１３號,,220754.150,2534357.417
64,6403600,多納里,001,,多納巷,,,１４號,,220929.088,2534424.787
64,6403600,多納里,001,,多納巷,,,１５號,,220931.924,2534432.106
64,6403600,多納里,001,,多納巷,,,１５之１號,,220939.448,2534441.389
64,6403600,多納里,001,,多納巷,,,１６號,,220952.506,2534452.538
64,6403600,多納里,001,,多納巷,,,１６之３０號,,221575.830,2534220.620
64,6403600,多納里,001,,多納巷,,,１６之３９號,,221766.740,2534071.370
64,6403600,多納里,001,,多納巷,,,１６之２號,,220583.870,2534143.270
64,6403600,多納里,001,,多納巷,,,１６之６６號,,221906.420,2534403.960
64,6403600,多納里,001,,多納巷,,,１６之１０號,,221798.179,2534398.429
64,6403600,多納里,001,,多納巷,,,１６之１１號,,221745.589,2534449.729
64,6403600,多納里,001,,多納巷,,,１６之２０號,,221857.439,2534431.747
64,6403600,多納里,001,,多納巷,,,１６之２１號,,221551.926,2534302.124
64,6403600,多納里,001,,多納巷,,,１６之２２號,,221491.474,2534286.051
64,6403600,多納里,001,,多納巷,,,１６之２５號,,221607.770,2534304.880
64,6403600,多納里,001,,多納巷,,,１６之２６號,,221638.181,2534395.389
