city_code,district_code,village,neighbor,street,area,lane,alley,number,address,x,y
10005,1000513,勝興村,3,,二十份,,,１號,,226357.94,2699682.96
10005,1000513,勝興村,3,,二十份,,,１之１號,,226361.39,2699686.24
10005,1000513,勝興村,3,,二十份,,,１之２號,,226364.57,2699690.25
10005,1000513,勝興村,3,,二十份,,,２號,,226353.92,2699677.55
10005,1000513,勝興村,3,,二十份,,,８號,,226341.72,2699665.29
10005,1000513,勝興村,3,,二十份,,,９號,,226340.695,2699659.611
10005,1000513,勝興村,3,,二十份,,,１１號,,226399.45,2699795.47
10005,1000513,勝興村,3,,二十份,,,１１之１號,,226402.69,2699825.54
10005,1000513,勝興村,3,,二十份,,,１１之２號,,226403.61,2699833.43
10005,1000513,勝興村,3,,二十份,,,１２號,,226396.35,2699777.48
10005,1000513,勝興村,3,,二十份,,,１３號,,226394.46,2699767.82
10005,1000513,勝興村,3,,二十份,,,１６號,,226360.64,2699772.64
10005,1000513,勝興村,3,,二十份,,,１８號,,226381.042,2699749.912
10005,1000513,勝興村,3,,二十份,,,４１號,,226364.17,2699717.36
10005,1000513,勝興村,3,,二十份,,,４１之２號,,226368.266,2699726.73
10005,1000513,勝興村,3,,二十份,,,４２號,,226361.08,2699713.55
10005,1000513,勝興村,3,,二十份,,,４３號,,226358,2699709.73
10005,1000513,勝興村,3,,二十份,,,４３之１號,,226354.92,2699705.91
10005,1000513,勝興村,3,,二十份,,,４５號,,226351.84,2699702.09
10005,1000513,勝興村,3,,二十份,,,４６號,,226348.75,2699698.28
10005,1000513,勝興村,3,,二十份,,,４７號,,226345.67,2699694.46
10005,1000513,勝興村,5,,二十份,,,４８號,,226335.05,2699687.9
10005,1000513,勝興村,5,,二十份,,,４９號,,226332,2699684.13
10005,1000513,勝興村,5,,二十份,,,５０號,,226328.95,2699680.36
10005,1000513,勝興村,5,,二十份,,,５１號,,226325.9,2699676.59
10005,1000513,勝興村,5,,二十份,,,５２號,,226322.85,2699672.82
10005,1000513,勝興村,5,,二十份,,,５３號,,226319.8,2699669.05
10005,1000513,勝興村,5,,二十份,,,５４號,,226316.75,2699665.29
10005,1000513,勝興村,4,,二十份,,,５５號,,226299.36,2699671.88
