city_code,district_code,village,neighbor,street,area,lane,alley,number,address,x,y
66,6602000,九房里,008,石城街,,復興巷,,３之９號,,228059.5535,2685996.5491
66,6602000,九房里,008,石城街,,復興巷,,７之３號,,227905.3681,2685878.6054
66,6602000,九房里,008,石城街,,復興巷,,１１之２１號,,227830.1894,2685777.1232
66,6602000,九房里,008,石城街,,復興巷,,１１之２２號,,227831.0681,2685781.7794
66,6602000,九房里,008,石城街,,復興巷,,１１之２３號,,227831.9466,2685786.3273
66,6602000,九房里,008,石城街,,復興巷,,１１之２５號,,227832.1721,2685791.2012
66,6602000,九房里,008,石城街,,復興巷,,１１之２６號,,227832.7228,2685795.0997
66,6602000,九房里,008,石城街,,復興巷,,１１之２７號,,227833.0572,2685799.9733
66,6602000,九房里,008,石城街,,復興巷,,１１之２８號,,227833.935,2685804.088
66,6602000,九房里,008,石城街,,復興巷,,１１之２９號,,227833.7243,2685808.6375
66,6602000,九房里,008,石城街,,復興巷,,１１之３０號,,227834.3855,2685813.5107
66,6602000,九房里,008,石城街,,復興巷,,１１之３１號,,227834.8281,2685817.9509
66,6602000,九房里,008,石城街,,復興巷,,１１之３３號,,227835.2784,2685827.2653
66,6602000,九房里,008,石城街,,復興巷,,１１之３５號,,227835.8293,2685831.2722
66,6602000,九房里,008,石城街,,復興巷,,１１之３２號,,227835.0531,2685822.4998
66,6602000,九房里,008,石城街,,復興巷,,１之１號,,228284.242,2685843.214
66,6602000,九房里,008,石城街,,復興巷,,１之２號,,228309.485,2685981.943
66,6602000,九房里,008,石城街,,復興巷,,１之８號,,228398.0652,2685813.6055
66,6602000,九房里,008,石城街,,復興巷,,１之７號,,228338.2878,2685837.8864
66,6602000,九房里,008,石城街,,復興巷,,１號,,228317.598,2685864.324
66,6602000,九房里,008,石城街,,復興巷,,２號,,228178.091,2685823.777
66,6602000,九房里,008,石城街,,復興巷,,３之２號,,228205.9284,2686033.5939
66,6602000,九房里,008,石城街,,復興巷,,３號,,228111.753,2686082.351
66,6602000,九房里,008,石城街,,復興巷,,３號之１,,228159.443,2686044.516
66,6602000,九房里,008,石城街,,復興巷,,５之２號,,228081.082,2685963.169
66,6602000,九房里,008,石城街,,復興巷,,５之６號,,227969.913,2685957.827
66,6602000,九房里,008,石城街,,復興巷,,５之３號,,227997.499,2686067.53
66,6602000,九房里,008,石城街,,復興巷,,５號,,228032.812,2685943.707
66,6602000,九房里,008,石城街,,復興巷,,５之１號,,228039.426,2685921.573
66,6602000,九房里,008,石城街,,復興巷,,６之１３號,,227975.63,2685729.43
66,6602000,九房里,008,石城街,,復興巷,,６之９號,,228087.129,2685745.92
66,6602000,九房里,008,石城街,,復興巷,,６之１２號,,228017.822,2685784.797
66,6602000,九房里,008,石城街,,復興巷,,６之５號,,228038.514,2685751.514
66,6602000,九房里,008,石城街,,復興巷,,６號,,228027.061,2685877.779
66,6602000,九房里,008,石城街,,復興巷,,６之２號,,228067.178,2685873.465
66,6602000,九房里,008,石城街,,復興巷,,６之７號,,228039.478,2685763.327
66,6602000,九房里,008,石城街,,復興巷,,７之６號,,227855.9,2685877.529
66,6602000,九房里,008,石城街,,復興巷,,７之７號,,227976.656,2685882.906
66,6602000,九房里,008,石城街,,復興巷,,７號,,227960.176,2685887.486
66,6602000,九房里,008,石城街,,復興巷,,８號,,227947.676,2685888.536
66,6602000,九房里,008,石城街,,復興巷,,９之１號,,227874.33,2685714.874
66,6602000,九房里,008,石城街,,復興巷,,１０號,,227856.691,2685727.292
66,6602000,九房里,008,石城街,,復興巷,,１１之１號,,227775.796,2685762.666
66,6602000,九房里,008,石城街,,復興巷,,１１號,,227814.23,2685707.6
66,6602000,九房里,008,石城街,,復興巷,,１１之３號,,228144.98,2685742.823
66,6602000,九房里,008,石城街,,復興巷,,１１號之２,,227760.586,2685777.337
66,6602000,九房里,001,明德路,,,,６２號,,227603.7664,2685420.5669
66,6602000,九房里,006,明德路,,８７巷,,２號,,227700.7087,2685362.9128
66,6602000,九房里,006,明德路,,,,１號,,227889.189,2685428.593
66,6602000,九房里,001,明德路,,,,２之２號,,227799.325,2685446.815
66,6602000,九房里,001,明德路,,,,２之３號,,227787.205,2685449.995
66,6602000,九房里,001,明德路,,,,２號,,227842.212,2685459.926
66,6602000,九房里,006,明德路,,,,１１號,,227859.799,2685423.696
66,6602000,九房里,001,明德路,,,,１８號（臺中市石岡區戶政事務所）,,227759.988,2685443.575
66,6602000,九房里,001,明德路,,,,２０號,,227727.992,2685444.88
66,6602000,九房里,006,明德路,,,,２３號,,227842.05,2685420.57
66,6602000,九房里,001,明德路,,,,２８號,,227663.647,2685433.027
66,6602000,九房里,001,明德路,,,,３１號,,227826.66,2685417.94
66,6602000,九房里,001,明德路,,,,３５號,,227808.11,2685414.656
66,6602000,九房里,001,明德路,,,,３９號,,227789.519,2685411.725
66,6602000,九房里,001,明德路,,,,５２號,,227635.3918,2685442.1872
66,6602000,九房里,006,明德路,,,,５５號,,227755.795,2685391.58
66,6602000,九房里,006,明德路,,,,５７號,,227743.03,2685404.225
66,6602000,九房里,006,明德路,,,,５９號,,227731.716,2685402.255
66,6602000,九房里,006,明德路,,,,６１號,,227715.7894,2685392.1156
66,6602000,九房里,006,明德路,,８７巷,,３２號,,227635.952,2685302.802
66,6602000,九房里,006,明德路,,８７巷,,６０號,,227490.221,2685261.605
66,6602000,九房里,006,明德路,,,,８９號,,227678.265,2685369.907
66,6602000,九房里,006,明德路,,,,８９之２號,,227660.041,2685387.064
66,6602000,九房里,006,明德路,,,,９１之１號,,227644.43,2685370.53
66,6602000,九房里,006,明德路,,,,９１號,,227649.42,2685368.94
66,6602000,九房里,001,明德路,,,,１０１號,,227616.103,2685363.788
66,6602000,九房里,001,明德路,,,,１０３號,,227602.357,2685362.162
66,6602000,九房里,001,明德路,,,,１０５號,,227563.932,2685369.358
66,6602000,九房里,001,明德路,,,,１２１號,,227524.219,2685376.724
66,6602000,九房里,001,明德路,,,,臨１２５號,,227521.116,2685376.82
66,6602000,九房里,001,明德路,,,,１３１號,,227515.661,2685377.853
66,6602000,九房里,006,明德路,,,,１５１之２號,,227536.459,2685304.9733
66,6602000,九房里,006,明德路,,,,１５１號,,227459.1789,2685336.6292
66,6602000,九房里,006,建德街,,,,８號,,228059.734,2685577.2983
66,6602000,九房里,006,建德街,,,,１９號,,228019.2211,2685557.9575
66,6602000,九房里,011,萬仙街,,岡仙巷,,６之７號,,228106.253,2684601.995
66,6602000,九房里,011,萬仙街,,岡仙巷,,６之６號,,228115.223,2684603.605
66,6602000,九房里,006,廣華街,,,,１號,,228017.2627,2685513.2692
66,6602000,九房里,010,豐勢路,,山下巷,,３之５之８號,,228656.0833,2685039.1501
66,6602000,九房里,007,豐勢路,,,,７號,,228420.0542,2685471.1097
66,6602000,九房里,007,豐勢路,,九房巷,,９號一樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號一樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號二樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號二樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號二樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號二樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號三樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號三樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號三樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號三樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號四樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號四樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號四樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號四樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號五樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號五樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號五樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號五樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號六樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號六樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號六樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號六樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號七樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號七樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號七樓之３,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號七樓之５,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號八樓之１,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號八樓之２,,228396.0253,2685489.9145
66,6602000,九房里,007,豐勢路,,九房巷,,９號八樓之３,,228396.0253,2685489.9145
66,6602000,九房里,010,豐勢路,,山下巷,,１３之２０號,,227745.0236,2685263.6937
66,6602000,九房里,011,豐勢路,,山下巷,,１５之３號,,227787.0001,2685111.7459
66,6602000,九房里,007,豐勢路,,九房巷,,２６之１之２號,,228349.0888,2685555.3205
66,6602000,九房里,007,豐勢路,,九房巷,,２６之１之１號,,228357.3694,2685545.8926
66,6602000,九房里,007,豐勢路,,九房巷,,３４之１號,,228281.5367,2685624.6168
66,6602000,九房里,007,豐勢路,,九房巷,,３４之３號,,228284.7961,2685619.2429
66,6602000,九房里,006,豐勢路,,８６０巷,,６號,,228322.5818,2685498.0518
66,6602000,九房里,006,豐勢路,,廣興巷,,１之１號,,227988.4763,2685514.0922
